Category,Sub-Category,Tag,Description / Usage
[SPECIALIZATION],[CO-OP],[TETHER],Connecting force lines between ships/enemies.
[SPECIALIZATION],[CO-OP],[DAMAGE_SHARE],Splitting damage taken or dealt across linked targets.
[SPECIALIZATION],[CO-OP],[BROADCAST],Sharing a local buff/stat with all allies.
[SPECIALIZATION],[CO-OP],[RESOURCE_FEED],Transferring heat or energy directly to teammates.
[SPECIALIZATION],[CO-OP],[AMPLIFICATION],Multiplier applied to allies' actions within range.
[SPECIALIZATION],[EXOTIC],[PHASE],Dimensional shifting (invulnerability/bypassing objects).
[SPECIALIZATION],[EXOTIC],[INVULNERABILITY],Temporary complete immunity to damage.
[SPECIALIZATION],[EXOTIC],[NANITE],Self-replicating bug swarms.
[SPECIALIZATION],[EXOTIC],[SALVAGE],Converting enemy debris into resources or barriers.
[SPECIALIZATION],[EXOTIC],[REFLECTION],Bouncing incoming shots back at attackers.
[SPECIALIZATION],[EXOTIC],[MIRROR],Prism mirror mechanics for multiplying beams.
[LOGIC],[CONDITIONAL],[ON_HIT],Triggers when dealing or receiving a hit.
[LOGIC],[CONDITIONAL],[ON_CRIT],Triggers when landing a critical strike.
[LOGIC],[CONDITIONAL],[ON_KILL],Triggers when an enemy ship is destroyed.
[LOGIC],[CONDITIONAL],[ON_SHIELD_DROP],Triggers when shields reach 0%.
[LOGIC],[CONDITIONAL],[ON_OVERHEAT],Triggers when heat reaches 100%.
[LOGIC],[SPATIAL_TRIGGER],[IN_RANGE],Triggers when a target enters a defined radius.
[LOGIC],[SPATIAL_TRIGGER],[BEHIND_ALLY],Triggers when positioned behind a teammate.
[LOGIC],[SPATIAL_TRIGGER],[FRONTAL_ARC],Triggers when an event happens in the front 90° cone.
[LOGIC],[SPATIAL_TRIGGER],[PROXIMITY],Triggers based on closeness to nearest entity.
[LOGIC],[TEAM_TRIGGER],[ALLY_LOW_HP],Triggers when a teammate drops below a HP threshold.
[LOGIC],[TEAM_TRIGGER],[ALLY_TARGETED],Triggers when an ally is locked on by enemies.
[LOGIC],[TEAM_TRIGGER],[TEAM_CLUSTER],Triggers when all 3 player ships are grouped closely.
